iter	MultiClass
0	1.084872334
1	1.071888359
2	1.059305383
3	1.04699508
4	1.03464986
5	1.02267973
6	1.011279087
7	0.9997256107
8	0.9887475057
9	0.9779151499
10	0.9673104348
11	0.9569459076
12	0.9469418662
13	0.9368131258
14	0.9270948058
15	0.9172058955
16	0.9078203127
17	0.8987266055
18	0.889610774
19	0.880764952
20	0.8722345972
21	0.8636174664
22	0.8552186728
23	0.8469678665
24	0.8389123857
25	0.8310678781
26	0.8235910508
27	0.8162384799
28	0.8087002001
29	0.801311212
30	0.7942001669
31	0.7871421027
32	0.7803735568
33	0.7737664516
34	0.7670651813
35	0.7606367329
36	0.7541682896
37	0.748009654
38	0.74181733
39	0.7357151397
40	0.729771084
41	0.7239846082
42	0.7181107078
43	0.7122551946
44	0.7066890098
45	0.7011913867
46	0.6955591307
47	0.6903477499
48	0.6850500309
49	0.6799773086
50	0.6747961636
51	0.669705154
52	0.6645227354
53	0.6598043184
54	0.6549398951
55	0.6504025746
56	0.6457412238
57	0.6411622783
58	0.6366426012
59	0.6323149135
60	0.627813031
61	0.6233493258
62	0.6189970669
63	0.6147191274
64	0.6105051136
65	0.6064575746
66	0.6025310818
67	0.5986203329
68	0.5944249097
69	0.5905814436
70	0.5867028626
71	0.582970816
72	0.5792533182
73	0.5756951071
74	0.5720724723
75	0.5682382402
76	0.5646190153
77	0.5610246763
78	0.5574898468
79	0.5541628128
80	0.550723711
81	0.54726902
82	0.543912185
83	0.540731676
84	0.5375360951
85	0.5342826888
86	0.5311311908
87	0.528111788
88	0.5250280198
89	0.522089339
90	0.5191304844
91	0.5161393935
92	0.5131698905
93	0.5102353742
94	0.5074107183
95	0.5045597884
96	0.5018263887
97	0.4991484365
98	0.4964729154
99	0.4938557136
100	0.4911846168
101	0.4887242339
102	0.485997747
103	0.4834416621
104	0.4810263675
105	0.4784568008
106	0.4759548126
107	0.4735059623
108	0.4711048307
109	0.4685937492
110	0.4661783413
111	0.4637612314
112	0.461309513
113	0.4589339991
114	0.4567519125
115	0.4545887078
116	0.452421647
117	0.4503388967
118	0.4480225457
119	0.4458607192
120	0.4437404298
121	0.4417636925
122	0.4397306402
123	0.4376240627
124	0.4356532053
125	0.4335820822
126	0.4316413726
127	0.429725632
