iter	Passed	Remaining
0	45	5729
1	85	5382
2	122	5086
3	152	4731
4	182	4485
5	213	4340
6	241	4182
7	271	4065
8	308	4084
9	339	4007
10	369	3932
11	400	3870
12	429	3796
13	458	3735
14	488	3683
15	517	3623
16	545	3560
17	576	3522
18	606	3481
19	635	3429
20	662	3377
21	690	3327
22	719	3285
23	748	3241
24	776	3197
25	803	3151
26	831	3108
27	858	3066
28	886	3025
29	914	2988
30	945	2958
31	978	2936
32	1010	2909
33	1041	2878
34	1070	2845
35	1099	2810
36	1129	2777
37	1158	2744
38	1189	2715
39	1219	2682
40	1250	2653
41	1280	2621
42	1309	2588
43	1341	2560
44	1369	2525
45	1397	2492
46	1428	2462
47	1460	2433
48	1493	2407
49	1522	2374
50	1554	2347
51	1584	2316
52	1617	2289
53	1648	2258
54	1677	2226
55	1705	2193
56	1735	2161
57	1770	2136
58	1800	2105
59	1828	2072
60	1857	2040
61	1886	2007
62	1917	1977
63	1950	1950
64	1979	1918
65	2009	1887
66	2036	1854
67	2067	1823
68	2095	1791
69	2124	1760
70	2153	1728
71	2182	1697
72	2225	1677
73	2258	1648
74	2286	1616
75	2314	1583
76	2342	1551
77	2370	1519
78	2397	1486
79	2425	1455
80	2453	1423
81	2482	1392
82	2511	1361
83	2540	1330
84	2568	1299
85	2599	1269
86	2628	1238
87	2657	1207
88	2687	1177
89	2716	1146
90	2746	1116
91	2775	1086
92	2804	1055
93	2832	1024
94	2861	994
95	2889	963
96	2919	933
97	2947	902
98	2976	871
99	3005	841
100	3033	811
101	3062	780
102	3094	751
103	3124	720
104	3152	690
105	3180	660
106	3208	629
107	3236	599
108	3264	568
109	3292	538
110	3321	508
111	3350	478
112	3378	448
113	3408	418
114	3440	388
115	3471	359
116	3501	329
117	3529	299
118	3557	269
119	3586	239
120	3615	209
121	3645	179
122	3674	149
123	3703	119
124	3730	89
125	3758	59
126	3786	29
127	3817	0
